2024/01/10,13:23:17,192.168.8.3,no-data,ソリマチ担当者用アカウント01,sori5301,0,OK
2024/01/10,13:23:21,192.168.3.211,,,,,NG
2024/01/10,13:23:29,192.168.3.211,,,,,NG
2024/01/10,13:23:29,192.168.3.211,,,,,NG
2024/01/10,13:23:29,192.168.3.211,,,,,NG
2024/01/12,13:47:54,192.168.90.124,,,,,NG
2024/01/12,13:48:00,192.168.3.211,,,,,NG
2024/01/12,13:48:00,192.168.3.211,,,,,NG
2024/01/12,13:48:00,192.168.3.211,,,,,NG
2024/01/12,13:58:26,192.168.90.124,,,1000000001,,NG
2024/01/12,15:10:39,192.168.90.124,no-data,全国商工会連合会(テストアカウント用),1000000001,0,OK
2024/01/12,15:10:39,192.168.3.211,,,,,NG
2024/01/12,15:20:44,192.168.3.211,,,,,NG
2024/01/12,15:21:00,192.168.3.211,,,,,NG
2024/01/12,15:21:00,192.168.3.211,,,,,NG
2024/01/12,15:21:00,192.168.3.211,,,,,NG
2024/01/12,19:32:00,192.168.90.124,no-data,全国商工会連合会(テストアカウント用),,0,OK
2024/01/12,19:32:00,192.168.3.211,,,,,NG
